ID|name|赛季|球队|场次|首发|时间|投篮|命中率|三分|命中率|罚球|命中率|篮板|助攻|抢断|盖帽|失误|犯规|得分
10003|蒂亚戈-斯普利特(Tiago Splitter)|2010|马刺|60|6|12.3|1.7-3.2|52.9%|0.0-0.0|0.0%|1.3-2.3|54.3%|3.4|0.4|0.48|0.28|0.53|1.52|4.6
10003|蒂亚戈-斯普利特(Tiago Splitter)|2011|马刺|59|2|19.0|3.6-5.8|61.8%|0.0-0.0|0.0%|2.1-3.1|69.1%|5.2|1.1|0.36|0.80|1.47|2.27|9.3
10003|蒂亚戈-斯普利特(Tiago Splitter)|2012|马刺|81|58|24.7|3.9-7.0|56.0%|0.0-0.0|0.0%|2.6-3.5|73.0%|6.4|1.6|0.78|0.79|1.23|1.99|10.3
10003|蒂亚戈-斯普利特(Tiago Splitter)|2013|马刺|59|50|21.5|3.1-5.9|52.3%|0.0-0.1|0.0%|2.1-2.9|69.9%|6.2|1.5|0.49|0.53|1.27|1.98|8.2
10004|伯瑞斯-迪奥(Boris Diaw)|2003|老鹰|76|37|25.2|1.8-4.1|44.7%|0.1-0.3|23.1%|0.7-1.2|60.2%|4.5|2.4|0.78|0.49|1.66|2.51|4.5
10004|伯瑞斯-迪奥(Boris Diaw)|2004|老鹰|66|25|18.2|1.9-4.5|42.2%|0.1-0.8|18.0%|0.9-1.2|74.0%|2.6|2.3|0.56|0.27|1.32|1.86|4.8
10004|伯瑞斯-迪奥(Boris Diaw)|2005|太阳|81|70|35.5|5.5-10.5|52.6%|0.1-0.4|26.7%|2.1-2.9|73.1%|6.9|6.2|0.72|1.05|2.33|3.21|13.3
10004|伯瑞斯-迪奥(Boris Diaw)|2006|太阳|73|59|31.1|4.2-7.8|53.8%|0.2-0.6|33.3%|1.1-1.6|68.3%|4.3|4.8|0.38|0.52|2.11|2.42|9.7
10004|伯瑞斯-迪奥(Boris Diaw)|2007|太阳|82|19|28.1|3.8-7.9|47.7%|0.2-0.5|31.7%|1.2-1.6|74.4%|4.6|3.9|0.74|0.48|1.89|2.02|8.8
10004|伯瑞斯-迪奥(Boris Diaw)|2008|汇总|81|59|34.0|5.5-10.9|50.7%|0.9-2.2|41.4%|1.2-1.8|68.7%|5.3|4.1|0.75|0.65|2.65|2.49|13.2
10004|伯瑞斯-迪奥(Boris Diaw)|2008|太阳|22|0|24.5|3.6-6.4|56.7%|0.2-0.6|35.7%|0.8-1.2|69.2%|3.8|2.1|0.50|0.41|1.68|1.77|8.3
10004|伯瑞斯-迪奥(Boris Diaw)|2008|山猫|59|59|37.6|6.2-12.6|49.5%|1.2-2.8|41.9%|1.4-2.1|68.6%|5.9|4.9|0.85|0.75|3.02|2.76|15.1
10004|伯瑞斯-迪奥(Boris Diaw)|2009|山猫|82|82|35.4|4.5-9.4|48.3%|0.8-2.5|32.0%|1.4-1.8|76.9%|5.2|4.0|0.73|0.70|2.17|2.67|11.3
10004|伯瑞斯-迪奥(Boris Diaw)|2010|山猫|82|82|33.9|4.6-9.4|49.2%|1.0-2.8|34.5%|1.0-1.5|68.3%|5.0|4.1|0.90|0.56|2.02|2.32|11.3
10004|伯瑞斯-迪奥(Boris Diaw)|2011|汇总|57|35|25.0|2.7-6.2|44.4%|0.5-1.7|31.3%|0.4-0.6|62.9%|4.9|3.6|0.60|0.44|1.96|2.19|6.4
10004|伯瑞斯-迪奥(Boris Diaw)|2011|山猫|37|28|27.5|3.1-7.6|41.0%|0.6-2.3|26.7%|0.5-0.7|63.0%|5.3|4.3|0.54|0.51|2.27|1.92|7.4
10004|伯瑞斯-迪奥(Boris Diaw)|2011|马刺|20|7|20.3|2.0-3.4|58.8%|0.4-0.7|61.5%|0.2-0.4|62.5%|4.2|2.4|0.70|0.30|1.40|2.70|4.7
10004|伯瑞斯-迪奥(Boris Diaw)|2012|马刺|75|20|22.8|2.4-4.4|53.9%|0.4-1.0|38.5%|0.6-0.9|72.3%|3.4|2.4|0.69|0.36|1.12|1.91|5.8
