ID|name|website|profile|heigh|position|weight|birth|team|school|xuanxiu|born|salary|contract|regular race|season race
10321|James Johnso|http://g.hupu.com/nba/players/jamesjohnson-3321.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/1/3321_756.png|2.06|F|113|358|多伦多猛龙|维克森林大学|2009年第1轮第16顺位|美国|250|2年500万，2014/7/17签，2016夏到期|7|2
10322|Bruno Cabocl|http://g.hupu.com/nba/players/brunocaboclo-4947.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/7/4947_199.jpg|2.06|SF|93|255|多伦多猛龙||2014年第1轮第20顺位|巴西|145|4年702万，2014/7/10签，2018夏到期，16&amp;17夏球队选项|0|0
10323|Jordan Hamilto|http://g.hupu.com/nba/players/jordanhamilton-3579.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/9/3579_374.png|2.01|SF|100|314|多伦多猛龙|德克萨斯大学|2011年第1轮第26顺位|美国|117|4年568万美元，2011/12/10签，2015夏到期，2014夏球队选项|5|2
10324|Lucas Nogueir|http://g.hupu.com/nba/players/lucasnogueira-4976.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/6/4976_811.jpg|2.13|C|100|293|多伦多猛龙||2013年第1轮第16顺位|巴西|0||0|0
10325|Will Cherr|http://g.hupu.com/nba/players/willcherry-4977.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/7/4977_632.jpg|1.83|PG|84|310|多伦多猛龙|Montana||美国|0||0|0
10326|Al Horfor|http://g.hupu.com/nba/players/alhorford-1239.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/9/1239.jpg|2.08|F/C|113|366|亚特兰大老鹰|佛罗里达大学|2007年第1轮第3顺位|Dominican Republic|1200|5年6000万，2010/11/2签，2011夏生效，2016夏到期|7|6
10327|Paul Millsa|http://g.hupu.com/nba/players/paulmillsap-1256.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/6/1256_519.jpg|2.03|F/C|117|382|亚特兰大老鹰|路易斯安那理工大学|2006年第2轮第17顺位|美国|950|2年1900万，2013/7/10签，2015夏到期|8|6
10328|Jeff Teagu|http://g.hupu.com/nba/players/jeffteague-3309.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/9/3309_956.jpg|1.88|PG|82|342|亚特兰大老鹰|维克森林大学|2009年第1轮第19顺位|美国|800|4年3200万，2013/7/12签，2017夏到期|5|5
10329|Kyle Korve|http://g.hupu.com/nba/players/kylekorver-645.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/5/645.jpg|2.01|G/F|96|429|亚特兰大老鹰|克雷顿大学|2003年第2轮第22顺位|美国|625|4年2400万，2013/7/14签，2017夏到期|13|8
10330|Thabo Sefolosh|http://g.hupu.com/nba/players/thabosefolosha-1272.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/2/1272_449.png|2.01|G/F|101|391|亚特兰大老鹰||2006年第1轮第13顺位|瑞士|415|3年1200万，2014/7/12签，2017夏到期|10|6
10331|Elton Bran|http://g.hupu.com/nba/players/eltonbrand-222.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/2/222_116.jpg|2.06|F/C|115|453|亚特兰大老鹰|杜克大学|1999年第1轮第1顺位|美国|400|1年400万，2013/7/15签，2014夏到期|15|4
10332|DeMarre Carrol|http://g.hupu.com/nba/players/demarrecarroll-3387.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/7/3387_393.jpg|2.03|F|96|365|亚特兰大老鹰|密苏里大学|2009年第1轮第27顺位|美国|244|2年500万，2013/8/3签，2015夏到期|9|2
10333|Dennis Schrode|http://g.hupu.com/nba/players/dennisschroder-4776.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/6/4776_988.jpg|1.85|PG|76|279|亚特兰大老鹰||2013年第1轮第17顺位|德国|169|4年750万，2013/7/7签，2017夏到期，15&amp;16夏球队选项|1|1
10334|John Jenkin|http://g.hupu.com/nba/players/johnjenkins-3660.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/0/3660.jpg|1.93|G/F|98|309|亚特兰大老鹰|范德堡大学|2012年第1轮第23顺位|美国|131|4年600万，2012/7/11签，2016夏到期，2015夏球队选项|2|1
10335|Pero Anti|http://g.hupu.com/nba/players/peroantic-4778.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/8/4778.jpg|2.11|C|108|413|亚特兰大老鹰|||南斯拉夫|125|2年245万，2013/7/25签，2015夏到期★14-15赛季无保障|1|1
