ID|name|website|profile|heigh|position|weight|birth|team|school|xuanxiu|born|salary|contract|regular race|season race
10001|Tony Parke|http://g.hupu.com/nba/players/tonyparker-700.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/0/700.jpg|1.88|PG|84|415|圣安东尼奥马刺||2001年第1轮第28顺位|比利时|1250|4年5000万，2010/10/31签，2011夏生效，2015夏到期|13|13
10002|Tim Dunca|http://g.hupu.com/nba/players/timduncan-693.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/3/693.jpg|2.11|F/C|113|488|圣安东尼奥马刺|维克森林大学|1997年第1轮第1顺位|美属维京群岛|1036|3年3000万，2012/7/12签，2015夏到期★拥有不可交易条款|17|16
10003|Tiago Splitte|http://g.hupu.com/nba/players/tiagosplitter-1217.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/7/1217.jpg|2.11|C|111|383|圣安东尼奥马刺||2007年第1轮第28顺位|巴西|925|4年3600万，2013/7/13签，2017夏到期|4|4
10004|Boris Dia|http://g.hupu.com/nba/players/borisdiaw-312.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/2/312.jpg|2.03|F/C|113|416|圣安东尼奥马刺||2003年第1轮第21顺位|法国|800|4年2800万，2014/7/16签，2018夏到期★部分保障合同|15|7
10005|Manu Ginobil|http://g.hupu.com/nba/players/manuginobili-694.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/4/694.jpg|1.98|G/F|93|473|圣安东尼奥马刺||1999年第2轮第28顺位|阿根廷|700|2年1400万美元，2013/7/11签，2015夏到期|12|11
10006|Danny Gree|http://g.hupu.com/nba/players/dannygreen-3356.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/6/3356.jpg|1.98|G/F|95|354|圣安东尼奥马刺|北卡罗莱纳大学|2009年第2轮第16顺位|美国|402|3年1128万，2012/7/12签，2015夏到期|5|4
10007|Patty Mill|http://g.hupu.com/nba/players/pattymills-3353.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/3/3353.jpg|1.83|PG|82|340|圣安东尼奥马刺|加拿大圣玛丽大学|2009年第2轮第25顺位|澳大利亚|384|3年1100万，2014/7/11签，2017夏到期|5|5
10008|Kawhi Leonar|http://g.hupu.com/nba/players/kawhileonard-3568.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/8/3568.jpg|2.01|G/F|104|306|圣安东尼奥马刺|圣地亚哥州立大学|2011年第1轮第15顺位|美国|289|4年864万美元，2011/12/13签，2015夏到期|3|3
10009|Marco Belinell|http://g.hupu.com/nba/players/marcobelinelli-1347.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/7/1347_326.jpg|1.96|G/F|98|369|圣安东尼奥马刺||2007年第1轮第18顺位|意大利|287|2年562万，2013/7/11签，2015夏到期|7|3
10010|Cory Josep|http://g.hupu.com/nba/players/coryjoseph-3582.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/2/3582.jpg|1.91|PG|84|304|圣安东尼奥马刺|德克萨斯大学|2011年第1轮第29顺位|加拿大|202|4年545万美元，2011/12/17签，2015夏到期|3|2
10011|Jeff Ayre|http://g.hupu.com/nba/players/jeffayres-4865.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/5/4865_525.jpg|2.06|F/C|113|356|圣安东尼奥马刺|亚利桑那州立大学|2009年第2轮第1顺位|美国|182|2年357万，2013/7/11签，2015夏到期|4|4
10012|Matt Bonne|http://g.hupu.com/nba/players/mattbonner-839.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/9/839.jpg|2.08|PF|107|440|圣安东尼奥马刺|佛罗里达大学|2003年第2轮第16顺位|美国|144|1年底薪，2014/7/22签，2015夏到期|10|8
