ID|name|season|team|changci|shoufa|time|toulan_mingzhong|toulan_chusou|mingzhonglv|3fen_mingzhong|3fen_chushou|3fenmingzhong|faqiu_mingzhong|faqiu_chushou|faqiu_mingzhonglv|lanban|zhugong|qiangduan|gaimao|shiwu|fangui|defen
10132|Carlos Booze|2009|爵士|10|10|40.2|8.9|16.8|53.0%|0.0|0.0|0.0%|1.9|3.5|54.3%|13.2|3.0|0.40|0.70|2.40|3.80|19.7
10132|Carlos Booze|2010|公牛|16|16|31.7|4.8|11.1|43.3%|0.0|0.1|0.0%|3.0|3.8|80.0%|9.7|1.8|0.56|0.44|1.75|3.06|12.6
10132|Carlos Booze|2011|公牛|6|6|33.3|6.3|15.0|42.2%|0.0|0.0|0.0%|0.8|1.2|71.4%|9.8|3.0|0.83|0.33|3.83|3.33|13.5
10132|Carlos Booze|2012|公牛|12|12|35.9|6.9|14.0|49.4%|0.0|0.1|0.0%|2.6|3.8|68.9%|9.6|1.5|0.83|0.08|2.42|3.00|16.4
10132|Carlos Booze|2013|公牛|5|5|24.2|4.0|9.4|42.6%|0.0|0.0|0.0%|1.6|1.8|88.9%|7.8|1.0|0.20|0.00|1.40|2.60|9.6
10134|Wayne Ellingto|2013|小牛|2|0|7.0|1.0|3.0|33.3%|1.0|3.0|33.3%|1.0|1.0|100.0%|1.0|1.0|0.00|0.00|1.00|0.50|4.0
10136|Ronnie Pric|2005|国王|4|0|2.2|0.0|0.8|0.0%|0.0|0.0|0.0%|0.0|0.0|0.0%|0.0|0.2|0.00|0.00|0.00|0.25|0.0
10136|Ronnie Pric|2007|爵士|12|0|5.7|0.8|2.6|32.3%|0.2|1.2|21.4%|0.8|1.1|76.9%|0.3|0.9|0.50|0.17|0.50|0.50|2.8
10136|Ronnie Pric|2008|爵士|2|0|8.0|1.5|5.0|30.0%|0.0|1.5|0.0%|1.0|1.0|100.0%|1.5|2.5|0.50|0.00|0.00|2.00|4.0
10136|Ronnie Pric|2009|爵士|10|0|9.0|0.7|2.4|29.2%|0.2|0.7|28.6%|0.4|0.8|50.0%|1.0|1.4|0.40|0.10|0.20|2.00|2.0
10137|Ed Davi|2012|灰熊|8|0|6.0|0.6|1.5|41.7%|0.0|0.0|0.0%|0.4|0.5|75.0%|1.4|0.0|0.00|0.12|0.25|0.88|1.6
10137|Ed Davi|2013|灰熊|7|0|3.6|0.4|1.4|30.0%|0.0|0.0|0.0%|0.0|0.1|0.0%|2.1|0.0|0.14|0.43|0.29|0.29|0.9
10138|Robert Sacr|2012|湖人|2|0|2.0|0.0|0.5|0.0%|0.0|0.0|0.0%|0.0|0.0|0.0%|1.0|0.0|0.50|0.00|0.00|0.00|0.0
10144|Rudy Ga|2011|灰熊|7|7|39.9|6.9|16.3|42.1%|0.6|2.7|21.1%|4.7|5.7|82.5%|6.6|1.4|1.29|0.29|3.00|2.14|19.0
10146|Carl Landr|2007|火箭|6|0|17.7|1.8|4.3|42.3%|0.0|0.0|0.0%|2.0|2.7|75.0%|4.7|0.0|1.17|0.50|0.33|1.33|5.7
10146|Carl Landr|2008|火箭|13|0|18.5|3.0|5.4|55.7%|0.0|0.2|0.0%|1.5|2.5|57.6%|3.9|0.2|0.31|0.38|1.08|2.08|7.5
10146|Carl Landr|2010|黄蜂|6|6|35.5|5.2|11.3|45.6%|0.0|0.0|0.0%|5.5|6.0|91.7%|5.0|1.0|0.67|0.50|2.00|4.17|15.8
10146|Carl Landr|2012|勇士|12|3|20.5|4.3|8.3|52.0%|0.0|0.0|0.0%|3.2|4.3|73.1%|5.2|1.4|0.58|0.17|1.58|2.42|11.8
10149|Ramon Session|2011|湖人|12|12|31.7|3.6|9.5|37.7%|0.3|2.1|16.0%|2.2|2.9|74.3%|3.0|3.6|0.33|0.08|1.83|2.25|9.7
10150|Darren Colliso|2010|步行者|5|5|29.2|3.6|9.2|39.1%|0.8|1.2|66.7%|1.4|2.2|63.6%|2.6|4.0|1.00|0.40|1.80|1.40|9.4
10150|Darren Colliso|2011|步行者|11|0|18.6|3.3|6.4|51.4%|0.4|1.0|36.4%|1.8|2.1|87.0%|1.3|3.0|1.27|0.00|1.00|1.00|8.7
10150|Darren Colliso|2013|快船|13|0|19.2|2.7|6.9|38.9%|0.1|0.9|8.3%|3.0|3.5|86.7%|2.1|2.4|0.46|0.08|0.92|1.31|8.5
10153|Reggie Evan|2004|超音速|11|11|18.9|1.4|3.4|40.5%|0.0|0.0|0.0%|1.0|1.9|52.4%|7.4|0.5|0.45|0.27|1.00|2.91|3.7
10153|Reggie Evan|2005|掘金|5|0|13.8|0.6|1.4|42.9%|0.0|0.4|0.0%|2.6|3.6|72.2%|4.6|0.0|0.40|0.20|1.20|2.20|3.8
10153|Reggie Evan|2007|76人|6|0|24.7|2.2|4.3|50.0%|0.0|0.0|0.0%|2.5|4.0|62.5%|7.8|0.5|0.83|0.00|2.17|3.33|6.8
10153|Reggie Evan|2008|76人|5|0|7.2|0.4|1.8|22.2%|0.0|0.0|0.0%|0.6|0.8|75.0%|2.0|0.0|0.60|0.00|0.40|0.80|1.4
10153|Reggie Evan|2011|快船|11|0|18.0|0.7|1.4|53.3%|0.0|0.0|0.0%|1.5|3.6|42.5%|7.3|0.1|0.82|0.55|0.82|2.82|3.0
10153|Reggie Evan|2012|篮网|7|7|29.9|1.6|3.3|47.8%|0.0|0.0|0.0%|1.4|2.6|55.6%|12.3|0.9|1.00|0.29|0.86|3.00|4.6
10154|Ryan Hollin|2008|小牛|9|0|9.3|0.9|1.6|57.1%|0.0|0.0|0.0%|0.7|1.1|60.0%|2.7|0.1|0.11|0.44|0.44|2.44|2.4
10154|Ryan Hollin|2011|凯尔特人|17|0|10.0|0.6|1.5|42.3%|0.0|0.0|0.0%|0.2|0.5|44.4%|1.6|0.5|0.00|0.47|0.41|1.71|1.5
10154|Ryan Hollin|2012|快船|5|0|7.4|1.0|1.8|55.6%|0.0|0.0|0.0%|0.2|0.4|50.0%|1.0|0.4|0.00|0.40|0.40|2.00|2.2
10154|Ryan Hollin|2013|快船|5|0|1.8|0.2|0.8|25.0%|0.0|0.0|0.0%|0.2|0.2|100.0%|0.6|0.0|0.00|0.00|0.20|0.60|0.6
10158|Kevin Duran|2009|雷霆|6|6|38.5|7.2|20.5|35.0%|1.7|5.8|28.6%|9.0|10.3|87.1%|7.7|2.3|0.50|1.33|3.67|2.83|25.0
10158|Kevin Duran|2010|雷霆|17|17|42.5|9.1|20.3|44.9%|2.2|6.4|33.9%|8.2|9.8|83.8%|8.2|2.8|0.94|1.12|2.47|3.06|28.6
10158|Kevin Duran|2011|雷霆|20|20|41.9|9.9|19.1|51.7%|2.0|5.5|37.3%|6.7|7.7|86.4%|7.4|3.7|1.45|1.20|3.15|2.55|28.5
10158|Kevin Duran|2012|雷霆|11|11|44.1|10.2|22.4|45.5%|2.0|6.4|31.4%|8.5|10.2|83.0%|9.0|6.3|1.27|1.09|3.91|2.36|30.8
10158|Kevin Duran|2013|雷霆|19|19|42.9|10.2|22.2|46.0%|2.3|6.6|34.4%|6.9|8.6|81.0%|8.9|3.9|1.00|1.32|3.79|2.16|29.6
10159|Russell Westbroo|2009|雷霆|6|6|35.3|7.2|15.2|47.3%|0.8|2.0|41.7%|5.3|6.3|84.2%|6.0|6.0|1.67|0.17|2.33|2.17|20.5
10159|Russell Westbroo|2010|雷霆|17|17|37.5|7.9|20.2|39.4%|0.8|2.8|29.2%|7.1|8.4|85.2%|5.4|6.4|1.41|0.35|4.59|3.29|23.8
10159|Russell Westbroo|2011|雷霆|20|20|38.4|8.8|20.4|43.5%|0.9|3.2|27.7%|4.5|5.5|80.2%|5.5|5.8|1.55|0.40|2.25|2.45|23.1
10159|Russell Westbroo|2012|雷霆|2|2|34.0|8.5|20.5|41.5%|1.0|4.5|22.2%|6.0|7.0|85.7%|6.5|7.0|3.00|0.00|4.00|2.50|24.0
10159|Russell Westbroo|2013|雷霆|19|19|38.7|8.8|20.9|42.0%|1.5|5.3|28.0%|7.6|8.6|88.4%|7.3|8.1|2.16|0.32|4.37|3.26|26.7
10160|Serge Ibak|2009|雷霆|6|0|25.5|3.3|5.8|57.1%|0.0|0.0|0.0%|1.2|1.7|70.0%|6.5|0.3|0.33|2.00|1.00|3.17|7.8
10160|Serge Ibak|2010|雷霆|17|17|28.8|3.9|8.5|46.2%|0.0|0.1|0.0%|1.9|2.4|82.5%|7.3|0.2|0.24|3.06|1.24|3.76|9.8
10160|Serge Ibak|2011|雷霆|20|20|28.4|4.2|8.0|52.8%|0.1|0.2|25.0%|1.3|1.8|72.2%|5.8|0.6|0.55|2.95|0.55|2.85|9.8
10160|Serge Ibak|2012|雷霆|11|11|33.3|5.4|12.3|43.7%|0.4|0.8|44.4%|1.7|2.2|79.2%|8.4|0.7|0.00|3.00|0.64|3.45|12.8
10160|Serge Ibak|2013|雷霆|17|17|34.2|5.1|8.6|59.2%|0.3|0.8|38.5%|1.5|2.0|76.5%|6.8|0.7|0.65|2.47|1.18|3.18|12.1
10161|Kendrick Perkin|2004|凯尔特人|6|0|4.7|0.7|0.8|80.0%|0.0|0.0|0.0%|0.2|0.5|33.3%|1.0|0.0|0.00|0.50|0.50|1.17|1.5
10161|Kendrick Perkin|2007|凯尔特人|25|25|25.2|2.5|4.2|58.5%|0.0|0.0|0.0%|1.6|2.4|67.8%|6.1|0.5|0.60|1.28|1.24|3.64|6.6
10161|Kendrick Perkin|2008|凯尔特人|14|14|36.6|5.2|9.1|57.5%|0.0|0.1|0.0%|1.4|2.1|66.7%|11.6|1.4|0.43|2.64|2.36|3.64|11.9
10161|Kendrick Perkin|2009|凯尔特人|23|23|25.0|2.1|4.2|51.0%|0.0|0.0|0.0%|1.4|2.4|60.0%|6.2|1.0|0.39|1.39|1.87|3.43|5.7
10161|Kendrick Perkin|2010|雷霆|17|17|28.2|1.7|3.8|45.3%|0.0|0.0|0.0%|1.1|1.9|57.6%|6.1|0.8|0.24|0.76|1.59|3.35|4.5
10161|Kendrick Perkin|2011|雷霆|20|20|25.9|1.9|4.5|41.6%|0.0|0.0|0.0%|1.0|1.2|80.0%|6.2|0.7|0.35|1.25|1.45|2.95|4.7
10161|Kendrick Perkin|2012|雷霆|11|11|19.1|0.9|3.5|26.3%|0.0|0.1|0.0%|0.4|0.4|100.0%|3.7|0.6|0.73|0.45|2.09|3.55|2.2
10161|Kendrick Perkin|2013|雷霆|19|19|20.2|1.3|2.4|53.3%|0.0|0.0|0.0%|0.6|0.8|80.0%|5.4|0.7|0.21|0.32|1.32|3.37|3.2
10163|Nick Colliso|2004|超音速|11|0|19.8|3.4|5.5|60.7%|0.1|0.1|100.0%|1.5|2.5|63.0%|5.0|0.5|0.27|0.45|0.55|3.64|8.4
10163|Nick Colliso|2009|雷霆|6|0|21.5|1.3|4.0|33.3%|0.0|0.2|0.0%|0.5|1.2|42.9%|4.7|0.3|0.83|0.17|0.67|3.33|3.2
10163|Nick Colliso|2010|雷霆|17|0|24.3|2.8|4.5|63.2%|0.0|0.0|0.0%|1.1|1.4|78.3%|5.8|0.9|0.88|0.88|0.76|3.71|6.7
10163|Nick Colliso|2011|雷霆|20|0|16.6|1.6|2.5|64.7%|0.0|0.0|0.0%|0.1|0.3|42.9%|3.4|0.9|0.60|0.25|0.60|2.55|3.5
10163|Nick Colliso|2012|雷霆|11|0|16.2|2.0|4.3|46.8%|0.0|0.0|0.0%|1.0|1.1|91.7%|4.6|1.1|0.45|1.00|0.91|3.36|5.0
10163|Nick Colliso|2013|雷霆|17|2|10.8|0.7|1.7|41.4%|0.1|0.3|40.0%|0.4|0.6|70.0%|2.2|0.8|0.24|0.41|0.35|1.65|1.9
10164|Jeremy Lam|2013|雷霆|11|0|9.1|1.5|3.8|40.5%|0.2|1.3|14.3%|0.4|0.4|100.0%|1.5|0.6|0.64|0.09|0.27|0.73|3.6
10165|Reggie Jackso|2012|雷霆|11|9|33.5|5.2|10.8|47.9%|1.2|3.9|30.2%|2.4|2.6|89.7%|4.9|3.6|0.45|0.55|1.91|3.09|13.9
10165|Reggie Jackso|2013|雷霆|19|4|27.9|3.9|8.5|46.6%|1.1|2.8|39.6%|2.1|2.3|88.6%|3.8|2.4|0.26|0.21|2.00|2.58|11.1
10166|Steven Adam|2013|雷霆|18|0|18.4|1.7|2.5|68.9%|0.0|0.0|0.0%|0.4|1.3|34.8%|4.1|0.2|0.06|1.33|0.56|2.67|3.9
10169|Andre Roberso|2013|雷霆|2|0|4.5|0.0|1.5|0.0%|0.0|0.0|0.0%|0.0|0.0|0.0%|1.0|0.0|0.00|0.00|0.00|0.00|0.0
10170|Perry Jone|2012|雷霆|1|0|5.0|0.0|1.0|0.0%|0.0|0.0|0.0%|0.0|0.0|0.0%|1.0|0.0|0.00|0.00|0.00|0.00|0.0
10170|Perry Jone|2013|雷霆|11|0|5.0|0.6|1.6|38.9%|0.3|0.9|30.0%|0.0|0.0|0.0%|0.8|0.1|0.00|0.09|0.09|0.82|1.5
10173|Ty Lawso|2009|掘金|6|0|19.7|2.5|5.8|42.9%|0.7|1.7|40.0%|2.2|3.2|68.4%|1.3|2.7|1.00|0.00|1.33|3.00|7.8
10173|Ty Lawso|2010|掘金|5|5|33.4|5.2|10.4|50.0%|1.0|2.2|45.5%|4.2|4.6|91.3%|3.4|3.8|1.00|0.20|1.20|1.80|15.6
10173|Ty Lawso|2011|掘金|7|7|34.6|8.0|15.6|51.4%|1.3|4.0|32.1%|1.7|2.7|63.2%|2.6|6.0|1.00|0.14|1.14|1.71|19.0
10173|Ty Lawso|2012|掘金|6|6|39.3|8.0|18.2|44.0%|0.7|3.5|19.0%|4.7|5.5|84.8%|3.3|8.0|1.67|0.00|2.17|2.17|21.3
10174|JaVale McGe|2011|掘金|7|0|25.9|3.3|7.6|43.4%|0.0|0.0|0.0%|2.0|3.7|53.8%|9.6|0.7|0.71|3.14|0.57|3.00|8.6
10174|JaVale McGe|2012|掘金|6|2|18.7|3.0|5.2|58.1%|0.0|0.0|0.0%|1.2|3.0|38.9%|5.2|0.0|0.67|1.00|1.83|2.83|7.2
10175|Danilo Gallinar|2010|掘金|5|5|29.6|3.8|8.8|43.2%|1.4|3.0|46.7%|3.0|4.2|71.4%|3.4|2.0|0.80|0.00|1.40|3.40|12.0
10175|Danilo Gallinar|2011|掘金|7|7|31.7|4.9|13.4|36.2%|0.6|3.3|17.4%|3.1|3.4|91.7%|5.1|2.4|0.71|0.57|1.29|2.14|13.4
10176|Arron Afflal|2007|活塞|12|0|7.0|0.6|1.5|38.9%|0.0|0.2|0.0%|0.0|0.0|0.0%|0.4|0.5|0.33|0.00|0.08|0.42|1.2
10176|Arron Afflal|2008|活塞|4|0|16.5|2.5|5.2|47.6%|0.5|2.5|20.0%|0.8|1.2|60.0%|0.8|0.2|0.00|0.50|0.75|2.25|6.2
10176|Arron Afflal|2009|掘金|6|6|20.0|3.3|5.3|62.5%|1.0|2.3|42.9%|1.5|1.8|81.8%|2.0|1.2|0.17|0.33|0.67|3.50|9.2
10176|Arron Afflal|2010|掘金|3|3|28.3|4.0|11.3|35.3%|1.0|4.0|25.0%|2.3|2.7|87.5%|3.0|2.3|0.00|0.00|1.00|3.33|11.3
10176|Arron Afflal|2011|掘金|7|7|32.7|4.3|10.6|40.5%|0.6|2.9|20.0%|1.7|2.1|80.0%|3.6|2.7|0.71|0.29|1.29|2.00|10.9
10177|Wilson Chandle|2010|掘金|5|2|23.0|1.6|5.8|27.6%|0.2|1.4|14.3%|1.4|1.8|77.8%|4.4|0.4|0.60|0.80|0.80|3.00|4.8
10177|Wilson Chandle|2012|掘金|6|6|34.2|4.5|12.7|35.5%|1.5|4.8|31.0%|1.5|2.0|75.0%|5.5|1.3|1.33|0.50|1.17|4.17|12.0
10178|J.J. Hickso|2009|骑士|11|0|7.2|1.3|2.0|63.6%|0.0|0.0|0.0%|1.0|1.5|68.8%|0.8|0.1|0.00|0.00|0.55|0.82|3.5
10179|Timofey Mozgo|2011|掘金|7|5|14.1|1.7|3.6|48.0%|0.0|0.0|0.0%|0.6|1.1|50.0%|3.3|0.4|0.29|0.86|0.71|2.29|4.0
10180|Darrell Arthu|2010|灰熊|13|0|15.5|3.0|6.5|45.9%|0.1|0.1|100.0%|1.0|1.3|76.5%|2.2|0.5|0.54|0.92|0.92|2.31|7.1
10180|Darrell Arthu|2012|灰熊|15|0|11.7|1.7|3.5|47.2%|0.0|0.1|0.0%|0.5|0.6|88.9%|2.5|0.4|0.13|0.27|0.47|2.40|3.9
10181|Randy Foy|2011|快船|11|11|26.5|2.6|6.7|39.2%|1.3|2.9|43.8%|1.0|1.2|84.6%|2.0|1.5|0.55|0.27|1.09|1.73|7.5
