ID|name|website|profile|heigh|position|weight|birth|team|school|xuanxiu|born|salary|contract|regular race|season race
10018|Marc Gasol|http://g.hupu.com/nba/players/marcgasol-1384.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/4/1384.jpg|2.16|C(33号)|120|475776000.0|孟菲斯灰熊||2007年第2轮第18顺位|西班牙|1582|4年5785万美元，2011/12/14签，2015夏到期|6|4
10019|Mike Conley|http://g.hupu.com/nba/players/mikeconley-1411.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/1/1411.jpg|1.85|PG(11号)|79|560880000.0|孟菲斯灰熊|俄亥俄州立大学|2007年第1轮第4顺位|美国|929|5年4000万，2010/11/2签，2016夏到期|7|4
10020|Tayshaun Prince|http://g.hupu.com/nba/players/tayshaunprince-715.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/5/715_100.jpg|2.06|F(21号)|98|320515200.0|孟菲斯灰熊|肯塔基大学|2002年第1轮第23顺位|美国|770|4年2781万美元，2011/12/10签，2015夏到期|14|9
10021|Courtney Lee|http://g.hupu.com/nba/players/courtneylee-3052.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/2/3052_961.jpg|1.96|G/F(5号)|91|497116800.0|孟菲斯灰熊|西肯塔基大学|2008年第1轮第22顺位|美国|545|4年2135万，2012/7/21签，2016夏到期|8|3
10022|Tony Allen|http://g.hupu.com/nba/players/tonyallen-829.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/9/829.jpg|1.93|G/F(9号)|97|379526400.0|孟菲斯灰熊|俄克拉荷马州立大学|2004年第1轮第25顺位|美国|483|4年2000万，2013/7/15签，2017夏到期|10|8
10023|Vince Carter|http://g.hupu.com/nba/players/vincecarter-936.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/6/936_563.jpg|1.98|G/F(15号)|100|223056000.0|孟菲斯灰熊|北卡罗莱纳大学|1998年第1轮第5顺位|美国|391|3年1226万，2014/7/12签，2017夏到期★16-17赛季只有200万美元受保障★合同包含15%交易保证金|20|8
10024|Quincy Pondexter|http://g.hupu.com/nba/players/quincypondexter-3474.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/4/3474.jpg|2.01|G/F(8号)|100|573926400.0|孟菲斯灰熊|华盛顿大学|2010年第1轮第26顺位|美国|314|4年1400万，2013/10/31签，2014夏生效，2018夏到期|4|3
10025|Kosta Koufos|http://g.hupu.com/nba/players/kostakoufos-3078.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/8/3078.jpg|2.13|F/C(41号)|120|604252800.0|孟菲斯灰熊|俄亥俄州立大学|2008年第1轮第23顺位|美国|300|3年900万美元，2012/1/26签，2012夏生效，2015夏到期★14-15赛季薪金只有50万受保障|8|5
10026|Beno Udrih|http://g.hupu.com/nba/players/benoudrih-702.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/2/702_277.jpg|1.91|PG(19号)|93|394646400.0|孟菲斯灰熊||2004年第1轮第28顺位|南斯拉夫|207|2年424万，2014/7/16签，2016夏到期|14|4
10027|Jordan Adams|http://g.hupu.com/nba/players/jordanadams-4950.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/0/4950_877.jpg|1.96|SG(3号)|95|773596800.0|孟菲斯灰熊|加州大学洛杉矶分校|2014年第1轮第22顺位|美国|134|4年662万，2014/7/8签，2018夏到期，16&amp;17夏球队选项|0|0
