ID|name|个人网址|个人头像|身高|位置|体重|生日|球队|学校|选秀|出生地|本赛季薪金|合同|常规赛参加情况|季后赛参加情况
10256|德隆-威廉姆斯（Deron Williams）|http://g.hupu.com/nba/players/deronwilliams-1050.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/0/1050.jpg|1.91米/6尺3|PG（8号）|95公斤/209磅|1984-06-26|布鲁克林篮网|伊利诺伊大学|2005年第1轮第3顺位|美国|1975万美元|5年9877万美元，2012/7/11签，2017夏到期，2016夏提前终止合同选项★合同包括15%交易保证金|11|6
10257|布鲁克-洛佩斯（Brook Lopez）|http://g.hupu.com/nba/players/brooklopez-3013.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/3/3013.jpg|2.13米/7尺0|C（11号）|125公斤/275磅|1988-04-01|布鲁克林篮网|斯坦福大学|2008年第1轮第10顺位|美国|1571万美元|4年6082万，2012/7/12签，2016夏到期，2015夏球员选项|6|1
10258|凯文-加内特（Kevin Garnett）|http://g.hupu.com/nba/players/kevingarnett-721.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/1/721_828.jpg|2.11米/6尺11|F/C（2号）|115公斤/253磅|1976-05-19|布鲁克林篮网||1995年第1轮第5顺位|美国|1200万美元|3年3600万，2012/7/15签，2015夏到期|19|14
10259|贾莱特-杰克（Jarrett Jack）|http://g.hupu.com/nba/players/jarrettjack-1055.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/5/1055_340.jpg|1.91米/6尺3|G（0号）|91公斤/200磅|1983-10-28|布鲁克林篮网|乔治亚理工大学|2005年第1轮第22顺位|美国|630万美元|4年2520万，2013/7/13签，2017夏到期★16-17赛季只有50万美元受保障|11|2
10260|米尔扎-泰莱托维奇（Mirza Teletovic）|http://g.hupu.com/nba/players/mirzateletovic-3699.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/9/3699_142.jpg|2.06米/6尺9|F（33号）|110公斤/242磅|1985-09-17|布鲁克林篮网|||波斯尼亚|336万美元|3年968万，2012/7/13签，2015夏到期|2|2
10261|安德烈-基里连科（Andrei Kirilenko）|http://g.hupu.com/nba/players/andreikirilenko-737.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/7/737_247.jpg|2.06米/6尺9|F（47号）|107公斤/235磅|1981-02-18|布鲁克林篮网||1999年第1轮第24顺位|苏联|332万美元|2年650万，2013/7/13签，2015夏到期|12|7
10262|博扬-波格丹诺维奇（Bojan Bogdanovic）|http://g.hupu.com/nba/players/bojanbogdanovic-4972.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/2/4972_838.png|2.03米/6尺8|SG（44号）|98公斤/216磅|1989-04-18|布鲁克林篮网||2011年第2轮第1顺位|南斯拉夫|322万美元|3年1011万，2014/7/23签，2017夏到期|0|0
10263|谢尔盖-卡拉肖夫（Sergey Karasev）|http://g.hupu.com/nba/players/sergeykarasev-4787.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/7/4787_187.jpg|2.01米/6尺7|SG（10号）|89公斤/196磅|1993-10-26|布鲁克林篮网||2013年第1轮第19顺位|俄罗斯|153万美元|4年706万，2013/8/2签，2017夏到期，15&amp;16夏球队选项|1|0
10264|梅森-普拉姆利（Mason Plumlee）|http://g.hupu.com/nba/players/masonplumlee-4810.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/0/4810_574.jpg|2.11米/6尺11|F/C（1号）|107公斤/235磅|1990-03-05|布鲁克林篮网|杜克大学|2013年第1轮第22顺位|美国|135万美元|4年639万，2013/7/3签，2017夏到期，15&amp;16夏球队选项|1|1
10265|阿兰-安德森（Alan Anderson）|http://g.hupu.com/nba/players/alananderson-1109.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/9/1109_728.jpg|1.98米/6尺6|G/F（6号）|100公斤/220磅|1982-10-16|布鲁克林篮网|密歇根州立大学||美国|127万美元|2年260万，2014/7/15签，2016夏到期，2015夏球员选项|5|1
10266|约格-古铁雷斯（Jorge Gutierrez）|http://g.hupu.com/nba/players/jorgegutierrez-4877.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/7/4877_913.jpg|1.91米/6尺3|PG（13号）|87公斤/191磅|1988-12-27|布鲁克林篮网|加利福尼亚大学||墨西哥|81万美元|2年底薪，2014/3/29签，2015夏到期★无保障合同|1|1
10267|凯斯珀-威尔（Casper Ware）|http://g.hupu.com/nba/players/casperware-4905.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/5/4905_923.jpg|1.78米/5尺10|PG（17号）|79公斤/175磅|1990-01-19|布鲁克林篮网|Long Beach State||美国|81万美元|2年底薪，2014/4/15签，2015夏到期★无保障合同|1|0
10268|马克尔-布朗（Markel Brown）|http://g.hupu.com/nba/players/markelbrown-4952.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/2/4952_572.png|1.91米/6尺3|SG（22号）|86公斤/190磅|1992-01-29|布鲁克林篮网|俄克拉荷马州立大学|2014年第2轮第14顺位|美国|50万美元|3年底薪，2014/7/24签，2017夏到期★15-16赛季与16-17赛季无保障|0|0
10269|科里-杰弗森（Cory Jefferson）|http://g.hupu.com/nba/players/coryjefferson-4954.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/4/4954_535.jpg|2.06米/6尺9|PF（21号）|100公斤/220磅|1990-12-26|布鲁克林篮网|贝勒大学|2014年第2轮第30顺位|美国|50万美元|3年底薪，2014/7/24签，2017夏到期★15-16赛季与16-17赛季无保障|0|0
10270|Jerome Jordan（Jerome Jordan）|http://g.hupu.com/nba/players/jeromejordan-4992.html||2.13米/7尺0|C（9号）|115公斤/253磅|1986-09-29|布鲁克林篮网|Tulsa|2010年第2轮第14顺位|牙买加|||1|1
10271|拉简-隆多（Rajon Rondo）|http://g.hupu.com/nba/players/rajonrondo-1219.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/9/1219.jpg|1.85米/6尺1|PG（9号）|84公斤/186磅|1986-02-22|波士顿凯尔特人|肯塔基大学|2006年第1轮第21顺位|美国|1290万美元|5年5500万，2009/11/2签，2010夏生效，2015夏到期|8|5
10272|杰拉德-华莱士（Gerald Wallace）|http://g.hupu.com/nba/players/geraldwallace-749.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/9/749_655.jpg|2.01米/6尺7|F（45号）|100公斤/220磅|1982-07-23|波士顿凯尔特人|阿拉巴马大学|2001年第1轮第25顺位|美国|1010万美元|4年4000万美元，2012/7/12签，2016夏到期|17|6
10273|杰夫-格林（Jeff Green）|http://g.hupu.com/nba/players/jeffgreen-1349.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/9/1349.jpg|2.06米/6尺9|G/F（8号）|107公斤/235磅|1986-08-28|波士顿凯尔特人|乔治城大学|2007年第1轮第5顺位|美国|920万美元|4年3600万，2012/8/23签，2016夏到期，2015夏球员选项|8|3
10274|马库斯-索顿（Marcus Thornton）|http://g.hupu.com/nba/players/marcusthornton-3354.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/4/3354_605.jpg|1.93米/6尺4|SG（4号）|93公斤/205磅|1987-06-05|波士顿凯尔特人|路易斯安那州立大学|2009年第2轮第13顺位|美国|857万美元|4年3115万美元，2011/12/10签，2015夏到期|9|1
10275|埃弗里-布拉德利（Avery Bradley）|http://g.hupu.com/nba/players/averybradley-3467.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/7/3467_333.jpg|1.88米/6尺2|G（0号）|82公斤/180磅|1990-11-26|波士顿凯尔特人|德克萨斯大学|2010年第1轮第19顺位|美国|719万美元|4年3200万，2014/7/16签，2018夏到期|4|2
10276|布兰登-巴斯（Brandon Bass）|http://g.hupu.com/nba/players/brandonbass-1191.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/1/1191.jpg|2.03米/6尺8|F/C（30号）|113公斤/250磅|1985-04-30|波士顿凯尔特人|路易斯安那州立大学|2005年第2轮第3顺位|美国|690万美元|3年2000万，2012/7/15签，2015夏到期|9|6
10277|埃文-特纳（Evan Turner）|http://g.hupu.com/nba/players/evanturner-3450.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/0/3450_739.png|2.01米/6尺7|G/F（11号）|100公斤/220磅|1988-10-27|波士顿凯尔特人|俄亥俄州立大学|2010年第1轮第2顺位|美国|668万美元|4年2152万，2010/7/14签，2014夏到期|6|3
10278|马库斯-斯马特（Marcus Smart）|http://g.hupu.com/nba/players/marcussmart-4925.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/5/4925_107.jpg|1.93米/6尺4|PG（36号）|100公斤/220磅|1994-03-06|波士顿凯尔特人|俄克拉荷马州立大学|2014年第1轮第6顺位|美国|323万美元|4年1478万，2014/7/11签，2018夏到期，16&amp;17夏球队选项|0|0
10279|威尔-拜纳姆（Will Bynum）|http://g.hupu.com/nba/players/willbynum-1221.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/1/1221_654.jpg|1.83米/6尺0|PG（20号）|84公斤/185磅|1983-01-04|波士顿凯尔特人|乔治亚理工大学||美国|291万美元|2年575万，2013/7/15签，2015夏到期|7|1
10280|维托尔-法韦拉尼（Vitor Faverani）|http://g.hupu.com/nba/players/vitorfaverani-4781.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/1/4781.jpg|2.11米/6尺11|C（38号）|118公斤/260磅|1988-05-05|波士顿凯尔特人|||巴西|209万美元|3年627万，2013/7/22签，2016夏到期★15-16赛季无保障|1|0
10281|凯利-奥利尼克（Kelly Olynyk）|http://g.hupu.com/nba/players/kellyolynyk-4779.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/9/4779.jpg|2.13米/7尺0|C（41号）|108公斤/238磅|1991-04-19|波士顿凯尔特人|冈萨加大学|2013年第1轮第13顺位|加拿大|207万美元|4年932万，2013/7/8签，2017夏到期，15&amp;16夏球队选项|1|0
10282|泰勒-泽勒（Tyler Zeller）|http://g.hupu.com/nba/players/tylerzeller-3654.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/4/3654_393.png|2.13米/7尺0|F/C（44号）|115公斤/253磅|1990-01-17|波士顿凯尔特人|北卡罗莱纳大学|2012年第1轮第17顺位|美国|170万美元|4年751万，2012/7/6签，2016夏到期，2015夏球队选项|2|0
10283|詹姆斯-杨（James Young）|http://g.hupu.com/nba/players/jamesyoung-4926.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/6/4926_755.png|1.98米/6尺6|SG（13号）|98公斤/215磅|1995-08-16|波士顿凯尔特人|肯塔基大学|2014年第1轮第17顺位|美国|167万美元|4年805万，2014/7/11签，2018夏到期，16&amp;17夏球队选项|0|0
10284|贾里德-萨林杰（Jared Sullinger）|http://g.hupu.com/nba/players/jaredsullinger-3658.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/8/3658.jpg|2.06米/6尺9|F/C（7号）|118公斤/260磅|1992-03-04|波士顿凯尔特人|俄亥俄州立大学|2012年第1轮第21顺位|美国|142万美元|4年636万，2012/7/3签，2016夏到期，2015夏球队选项|2|0
10285|菲尔-普雷西（Phil Pressey）|http://g.hupu.com/nba/players/philpressey-4780.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/0/4780.jpg|1.8米/5尺11|PG（26号）|79公斤/175磅|1991-02-17|波士顿凯尔特人|密苏里大学||美国|81万美元|3年底薪，2013/7/22签，2015夏到期★14-15与15-16赛季无保障|1|0
10286|埃里克-墨菲（Erik Murphy）|http://g.hupu.com/nba/players/erikmurphy-4785.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/5/4785_379.png|2.08米/6尺10|F/C（42号）|104公斤/230磅|1990-10-26|波士顿凯尔特人|佛罗里达大学|2013年第2轮第19顺位|法国|81万美元|2年底薪，2013/7/13签，2015夏到期★无保障合同|1|0
10287|罗德尼-麦格鲁德（Rodney McGruder）|http://g.hupu.com/nba/players/rodneymcgruder-4878.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/8/4878_648.jpg|1.93米/6尺4|SG（77号）|93公斤/205磅|1991-07-29|波士顿凯尔特人|堪萨斯州立大学||美国|||0|0
10288|德怀特-鲍威尔（Dwight Powell）|http://g.hupu.com/nba/players/dwightpowell-4967.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/7/4967_830.png|2.08米/6尺10|PF（12号）|109公斤/240磅|1991-07-20|波士顿凯尔特人|斯坦福大学|2014年第2轮第15顺位|加拿大||未签约新秀|0|0
10289|Tim Frazier（Tim Frazier）|http://g.hupu.com/nba/players/timfrazier-5026.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/6/5026_476.jpg|1.85米/6尺1|PG（55号）|77公斤/170磅|1990-11-01|波士顿凯尔特人|Penn State||美国|||0|0
10290|Christian Watford（Christian Watford）|http://g.hupu.com/nba/players/christianwatford-5027.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/7/5027_233.jpg|2.06米/6尺9|PF（27号）|105公斤/232磅|1991-04-28|波士顿凯尔特人|印第安纳大学||美国|||0|0
10291|Jarell Eddie（Jarell Eddie）|http://g.hupu.com/nba/players/jarelleddie-5030.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/0/5030_248.png|2.01米/6尺7|SG（3号）|100公斤/220磅|1991-10-30|波士顿凯尔特人|Virginia Tech||美国|||0|0
10292|杰森-理查德森（Jason Richardson）|http://g.hupu.com/nba/players/jasonrichardson-209.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/9/209_991.jpg|1.98米/6尺6|G/F（23号）|102公斤/225磅|1981-01-20|费城76人|密歇根州立大学|2001年第1轮第5顺位|美国|660万美元|4年2500万美元，2011/12/11签，2015夏到期|16|4
10293|卢克-理查德-巴莫特（Luc Richard Mbah a Moute）|http://g.hupu.com/nba/players/lucrichardmbahamoute-3072.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/2/3072_186.jpg|2.03米/6尺8|F（12号）|104公斤/230磅|1986-09-09|费城76人|加州大学洛杉矶分校|2008年第2轮第7顺位|喀麦隆|438万美元|4年1876万美元，2011/12/13签，2015夏到期|8|2
10294|纳伦斯-诺埃尔（Nerlens Noel）|http://g.hupu.com/nba/players/nerlensnoel-4818.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/8/4818_405.png|2.08米/6尺10|F/C（4号）|103公斤/228磅|1994-04-10|费城76人|肯塔基大学|2013年第1轮第6顺位|美国|331万美元|4年1432万，2013/9/16签，2017夏到期，15&amp;16夏球队选项|0|0
10295|亚列克谢-施韦德（Alexey Shved）|http://g.hupu.com/nba/players/alexeyshved-3706.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/6/3706_550.png|1.98米/6尺6|G（88号）|85公斤/187磅|1988-12-16|费城76人|||苏联|328万美元|3年945万，2012/7/26签，2015夏到期|2|0
10296|迈克尔-卡特-威廉姆斯（Michael Carter-Williams）|http://g.hupu.com/nba/players/michaelcarterwilliams-4820.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/0/4820.jpg|1.98米/6尺6|PG（1号）|84公斤/185磅|1991-10-10|费城76人|雪城大学|2013年第1轮第11顺位|美国|230万美元|4年1008万，2013/9/19签，2017夏到期，15&amp;16夏球队选项|1|0
10297|托尼-罗滕（Tony Wroten）|http://g.hupu.com/nba/players/tonywroten-3662.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/2/3662_209.jpg|1.98米/6尺6|PG（8号）|93公斤/205磅|1993-04-13|费城76人|华盛顿大学|2012年第1轮第25顺位|美国|121万美元|4年566万，2012/7/14签，2016夏到期，2015夏球队选项|2|1
10298|阿内特-穆特里（Arnett Moultrie）|http://g.hupu.com/nba/players/arnettmoultrie-3664.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/4/3664.jpg|2.08米/6尺10|PF（5号）|109公斤/240磅|1990-11-18|费城76人|密西西比州立大学|2012年第1轮第27顺位|美国|113万美元|4年531万，2012/7/25签，2016夏到期，2015夏球队选项|2|0
10299|马奎斯-蒂格（Marquis Teague）|http://g.hupu.com/nba/players/marquisteague-3666.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/6/3666_617.png|1.88米/6尺2|PG（10号）|86公斤/189磅|1993-02-28|费城76人|肯塔基大学|2012年第1轮第29顺位|美国|112万美元|4年507万，2012/8/8签，2016夏到期，2015夏球队选项|4|1
10300|埃利奥特-威廉姆斯（Elliot Williams）|http://g.hupu.com/nba/players/elliotwilliams-3470.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/0/3470.jpg|1.96米/6尺5|SG（25号）|86公斤/190磅|1989-06-20|费城76人|孟菲斯大学|2010年第1轮第22顺位|美国|98万美元|4年底薪，2013/11/21签，2017夏到期，2016夏球队选项★无保障合同|2|0
10301|亨利-希姆斯（Henry Sims）|http://g.hupu.com/nba/players/henrysims-3729.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/9/3729_616.jpg|2.08米/6尺10|C（35号）|112公斤/248磅|1990-03-27|费城76人|乔治城大学||美国|91万美元|2年底薪，2013/9/21签，2015夏到期★无保障合同|4|0
10302|克里斯-约翰逊（Chris Johnson）|http://g.hupu.com/nba/players/chrisjohnson-3553.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/3/3553_276.png|1.98米/6尺6|F（16号）|91公斤/201磅|1990-04-29|费城76人|戴顿大学||美国|91万美元|3年底薪，2014/2/7签，2017夏到期★无保障合同|2|0
10303|霍利斯-汤普森（Hollis Thompson）|http://g.hupu.com/nba/players/hollisthompson-3698.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/8/3698_533.jpg|2.03米/6尺8|F（31号）|93公斤/206磅|1991-04-03|费城76人|乔治城大学||美国|81万美元|4年底薪，2013/9/28签，2017夏到期，2016夏球队选项★无保障合同|1|0
10304|布兰登-戴维斯（Brandon Davies）|http://g.hupu.com/nba/players/brandondavies-4808.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/8/4808_370.png|2.08米/6尺10|PF（0号）|109公斤/240磅|1991-07-25|费城76人|杨百翰大学||美国|81万美元|4年底薪，2013/10/28签，2017夏到期，2016夏球队选项★无保障合同|1|0
10305|乔尔-恩比德（Joel Embiid）|http://g.hupu.com/nba/players/joelembiid-4958.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/8/4958_518.jpg|2.13米/7尺0|C（21号）|113公斤/250磅|1994-03-16|费城76人|堪萨斯大学|2014年第1轮第3顺位|喀麦隆||未签约新秀|0|0
10306|KJ-麦克丹尼尔斯（K.J. McDaniels）|http://g.hupu.com/nba/players/kjmcdaniels-4960.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/0/4960_239.jpg|1.98米/6尺6|SF（14号）|91公斤/200磅|1993-02-09|费城76人|克莱姆森大学|2014年第2轮第2顺位|美国||未签约新秀|0|0
10307|杰拉米-格兰特（Jerami Grant）|http://g.hupu.com/nba/players/jeramigrant-4961.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/1/4961_694.jpg|2.03米/6尺8|SF（39号）|95公斤/210磅|1994-03-12|费城76人|雪城大学|2014年第2轮第9顺位|美国||未签约新秀|0|0
10308|Jakarr Sampson（Jakarr Sampson）|http://g.hupu.com/nba/players/jakarrsampson-5029.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/9/5029_968.jpg|2.06米/6尺9|PF（9号）|97公斤/214磅|1993-03-20|费城76人|圣约翰大学||美国|||0|0
10309|凯尔-洛瑞（Kyle Lowry）|http://g.hupu.com/nba/players/kylelowry-1244.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/4/1244.jpg|1.83米/6尺0|PG（7号）|93公斤/205磅|1986-03-25|多伦多猛龙|维拉诺瓦大学|2006年第1轮第24顺位|美国|1200万美元|4年4800万，2014/7/10签，2018夏到期，2017夏球员选项|10|2
10310|德马尔-德罗赞（DeMar DeRozan）|http://g.hupu.com/nba/players/demarderozan-3314.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/4/3314_358.jpg|2.01米/6尺7|G/F（10号）|100公斤/220磅|1989-08-07|多伦多猛龙|南加利福尼亚大学|2009年第1轮第9顺位|美国|950万美元|4年3800万，2012/11/1签，2013夏生效，2017夏到期|5|1
10311|阿米尔-约翰逊（Amir Johnson）|http://g.hupu.com/nba/players/amirjohnson-1137.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/7/1137.jpg|2.06米/6尺9|F/C（15号）|95公斤/210磅|1987-05-01|多伦多猛龙||2005年第2轮第26顺位|美国|700万美元|5年3388万，2010/7/8签，2015夏到期★合同包括5%交易保证金★14-15赛季薪金只有500万受保障|9|3
10312|格雷维斯-瓦斯奎兹（Greivis Vasquez）|http://g.hupu.com/nba/players/greivisvasquez-3476.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/6/3476_676.jpg|1.98米/6尺6|G（21号）|91公斤/200磅|1987-01-16|多伦多猛龙|马里兰大学|2010年第1轮第28顺位|委内瑞拉|650万美元|2年1300万，2014/7/16签，2016夏到期|6|2
10313|兰德里-菲尔兹（Landry Fields）|http://g.hupu.com/nba/players/landryfields-3487.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/7/3487_466.jpg|2.01米/6尺7|G/F（2号）|98公斤/215磅|1988-06-27|多伦多猛龙|斯坦福大学|2010年第2轮第9顺位|美国|625万美元|3年1875万，2012/7/15签，2015夏到期|4|3
10314|查克-海耶斯（Chuck Hayes）|http://g.hupu.com/nba/players/chuckhayes-1200.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/0/1200.jpg|1.98米/6尺6|F/C（44号）|110公斤/242磅|1983-06-11|多伦多猛龙|肯塔基大学||美国|595万美元|4年2241万美元，2011/12/22签，2015夏到期|11|4
10315|帕特里克-帕特森（Patrick Patterson）|http://g.hupu.com/nba/players/patrickpatterson-3462.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/2/3462_198.jpg|2.06米/6尺9|F/C（54号）|107公斤/235磅|1989-03-14|多伦多猛龙|肯塔基大学|2010年第1轮第14顺位|美国|583万美元|3年1800万，2014/7/13签，2017夏到期|8|1
10316|路易斯-威廉姆斯（Lou Williams）|http://g.hupu.com/nba/players/louwilliams-1128.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/8/1128.jpg|1.85米/6尺1|G（23号）|79公斤/175磅|1986-10-27|多伦多猛龙||2005年第2轮第15顺位|美国|545万美元|3年1567万，2012/7/13签，2015夏到期|9|5
10317|约纳斯-瓦兰丘纳斯（Jonas Valanciunas）|http://g.hupu.com/nba/players/jonasvalanciunas-3558.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/8/3558.jpg|2.13米/7尺0|C（17号）|109公斤/240磅|1992-05-06|多伦多猛龙||2011年第1轮第5顺位|立陶宛|367万美元|4年1524万，2012/7/19签，2016夏到期，2015夏球队选项|2|1
10318|泰勒-汉斯布鲁（Tyler Hansbrough）|http://g.hupu.com/nba/players/tylerhansbrough-1354.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/4/1354_580.jpg|2.06米/6尺9|F/C（50号）|113公斤/250磅|1985-11-03|多伦多猛龙|北卡罗莱纳大学|2009年第1轮第13顺位|美国|332万美元|2年650万，2013/7/15签，2015夏到期|5|4
10319|特伦斯-罗斯（Terrence Ross）|http://g.hupu.com/nba/players/terrenceross-3645.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/5/3645.jpg|2.01米/6尺7|G/F（31号）|88公斤/195磅|1991-02-05|多伦多猛龙|华盛顿大学|2012年第1轮第8顺位|美国|279万美元|4年1159万，2012/7/11签，2016夏到期，2015夏球队选项|2|1
10320|格雷格-斯蒂恩斯玛（Greg Stiemsma）|http://g.hupu.com/nba/players/gregstiemsma-3445.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/5/3445_369.png|2.11米/6尺11|C（34号）|118公斤/260磅|1985-09-26|多伦多猛龙|威斯康星大学||美国|267万美元|1年267万，2013/7/11签，2014夏到期|3|1
10321|詹姆斯-约翰逊（James Johnson）|http://g.hupu.com/nba/players/jamesjohnson-3321.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/1/3321_756.png|2.06米/6尺9|F（3号）|113公斤/250磅|1987-02-20|多伦多猛龙|维克森林大学|2009年第1轮第16顺位|美国|250万美元|2年500万，2014/7/17签，2016夏到期|7|2
10322|布鲁诺-卡博克洛（Bruno Caboclo）|http://g.hupu.com/nba/players/brunocaboclo-4947.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/7/4947_199.jpg|2.06米/6尺9|SF（5号）|93公斤/205磅|1995-09-21|多伦多猛龙||2014年第1轮第20顺位|巴西|145万美元|4年702万，2014/7/10签，2018夏到期，16&amp;17夏球队选项|0|0
10323|乔丹-汉密尔顿（Jordan Hamilton）|http://g.hupu.com/nba/players/jordanhamilton-3579.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/9/3579_374.png|2.01米/6尺7|SF（25号）|100公斤/220磅|1990-10-06|多伦多猛龙|德克萨斯大学|2011年第1轮第26顺位|美国|117万美元|4年568万美元，2011/12/10签，2015夏到期，2014夏球队选项|5|2
10324|卢卡斯-诺盖拉（Lucas Nogueira）|http://g.hupu.com/nba/players/lucasnogueira-4976.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/6/4976_811.jpg|2.13米/7尺0|C（92号）|100公斤/220磅|1992-07-26|多伦多猛龙||2013年第1轮第16顺位|巴西|||0|0
10325|威尔-彻里（Will Cherry）|http://g.hupu.com/nba/players/willcherry-4977.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/7/4977_632.jpg|1.83米/6尺0|PG（1号）|84公斤/185磅|1991-02-08|多伦多猛龙|Montana||美国|||0|0
10326|艾尔-霍弗德（Al Horford）|http://g.hupu.com/nba/players/alhorford-1239.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/9/1239.jpg|2.08米/6尺10|F/C（15号）|113公斤/250磅|1986-06-03|亚特兰大老鹰|佛罗里达大学|2007年第1轮第3顺位|Dominican Republic|1200万美元|5年6000万，2010/11/2签，2011夏生效，2016夏到期|7|6
10327|保罗-米尔萨普（Paul Millsap）|http://g.hupu.com/nba/players/paulmillsap-1256.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/6/1256_519.jpg|2.03米/6尺8|F/C（4号）|117公斤/258磅|1985-02-10|亚特兰大老鹰|路易斯安那理工大学|2006年第2轮第17顺位|美国|950万美元|2年1900万，2013/7/10签，2015夏到期|8|6
10328|杰夫-蒂格（Jeff Teague）|http://g.hupu.com/nba/players/jeffteague-3309.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/9/3309_956.jpg|1.88米/6尺2|PG（0号）|82公斤/181磅|1988-06-10|亚特兰大老鹰|维克森林大学|2009年第1轮第19顺位|美国|800万美元|4年3200万，2013/7/12签，2017夏到期|5|5
10329|凯尔-科沃尔（Kyle Korver）|http://g.hupu.com/nba/players/kylekorver-645.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/5/645.jpg|2.01米/6尺7|G/F（26号）|96公斤/212磅|1981-03-17|亚特兰大老鹰|克雷顿大学|2003年第2轮第22顺位|美国|625万美元|4年2400万，2013/7/14签，2017夏到期|13|8
10330|萨博-塞福洛沙（Thabo Sefolosha）|http://g.hupu.com/nba/players/thabosefolosha-1272.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/2/1272_449.png|2.01米/6尺7|G/F（25号）|101公斤/222磅|1984-05-02|亚特兰大老鹰||2006年第1轮第13顺位|瑞士|415万美元|3年1200万，2014/7/12签，2017夏到期|10|6
10331|埃尔顿-布兰德（Elton Brand）|http://g.hupu.com/nba/players/eltonbrand-222.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/2/222_116.jpg|2.06米/6尺9|F/C（7号）|115公斤/254磅|1979-03-11|亚特兰大老鹰|杜克大学|1999年第1轮第1顺位|美国|400万美元|1年400万，2013/7/15签，2014夏到期|15|4
