ID|name|个人网址|个人头像|身高|位置|体重|生日|球队|学校|选秀|出生地|本赛季薪金|合同|常规赛参加情况|季后赛参加情况
10210|达米安-利拉德（Damian Lillard）|http://g.hupu.com/nba/players/damianlillard-3643.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/3/3643.jpg|1.91米/6尺3|PG（0号）|88公斤/195磅|1990-07-15|波特兰开拓者|韦伯州立大学|2012年第1轮第6顺位|美国|334万美元|4年1384万，2012/7/12签，2016夏到期，2015夏球队选项|2|1
10211|多雷尔-赖特（Dorell Wright）|http://g.hupu.com/nba/players/dorellwright-861.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/1/861_493.jpg|2.06米/6尺9|G/F（1号）|93公斤/205磅|1985-12-02|波特兰开拓者||2004年第1轮第19顺位|美国|313万美元|2年613万，2013/7/10签，2015夏到期|10|4
10212|乔尔-弗里兰（Joel Freeland）|http://g.hupu.com/nba/players/joelfreeland-1285.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/5/1285.jpg|2.11米/6尺11|F/C（19号）|116公斤/255磅|1987-02-07|波特兰开拓者||2006年第1轮第30顺位|英格兰|301万美元|3年892万，2012/7/14签，2015夏到期|2|1
10213|CJ-麦科勒姆（C.J. McCollum）|http://g.hupu.com/nba/players/cjmccollum-4844.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/4/4844.jpg|1.91米/6尺3|G（3号）|86公斤/190磅|1991-09-19|波特兰开拓者|里海大学|2013年第1轮第10顺位|美国|242万美元|4年1047万，2013/7/11签，2017夏到期，15&amp;16夏球队选项|1|1
10214|迈耶斯-伦纳德（Meyers Leonard）|http://g.hupu.com/nba/players/meyersleonard-3648.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/8/3648.jpg|2.16米/7尺1|F/C（11号）|116公斤/255磅|1992-02-27|波特兰开拓者|伊利诺伊大学|2012年第1轮第11顺位|美国|231万美元|4年974万，2012/7/12签，2016夏到期，2015夏球队选项|2|1
10215|史蒂夫-布雷克（Steve Blake）|http://g.hupu.com/nba/players/steveblake-125.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/5/125.jpg|1.91米/6尺3|G（25号）|79公斤/175磅|1980-02-26|波特兰开拓者|马里兰大学|2003年第2轮第9顺位|美国|207万美元|2年424万，2014/7/11签，2016夏到期，2015夏球员选项|17|7
10216|维克托-克拉韦尔（Victor Claver）|http://g.hupu.com/nba/players/victorclaver-3390.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/0/3390.jpg|2.08米/6尺10|G/F（18号）|107公斤/235磅|1988-08-30|波特兰开拓者||2009年第1轮第22顺位|西班牙|137万美元|3年400万，2012/7/12签，2015夏到期|2|1
10217|达柳斯-莫里斯（Darius Morris）|http://g.hupu.com/nba/players/dariusmorris-3593.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/3/3593_280.jpg|1.93米/6尺4|G（4号）|88公斤/195磅|1991-01-03|波特兰开拓者|密歇根大学|2011年第2轮第11顺位|美国|104万美元|1年底薪，2013/9/28签，2014夏到期★无保障合同|6|2
10218|威尔-巴顿（Will Barton）|http://g.hupu.com/nba/players/willbarton-3677.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/7/3677.jpg|1.98米/6尺6|SG（5号）|84公斤/185磅|1991-01-06|波特兰开拓者|孟菲斯大学|2012年第2轮第10顺位|美国|91万美元|3年225万，2012/7/15签，2015夏到期★14-15赛季无保障|2|1
10219|迪安特-加莱特（Diante Garrett）|http://g.hupu.com/nba/players/diantegarrett-3756.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/6/3756_911.jpg|1.93米/6尺4|G（10号）|86公斤/190磅|1988-11-03|波特兰开拓者|爱荷华州立大学||美国|91万美元|2年底薪，2013/11/16签，2015夏到期★无保障合同|2|0
10220|阿伦-克拉布（Allen Crabbe）|http://g.hupu.com/nba/players/allencrabbe-4845.html|http://c2.hoopchina.com.cn//uploads/gamespace/players/5/4845.jpg|1.98米/6尺6|SG（23号）|93公斤/205磅|1992-04-09|波特兰开拓者|加利福尼亚大学|2013年第2轮第1顺位|美国|86万美元|3年263万，2013/7/10签，2016夏到期★15-16赛季无保障|1|0
